SMILES,BCUTp-1h,BCUTc-1h,Weta2.unity,Wgamma3.unity,Wgamma1.unity,WD.unity,Wgamma2.unity,WG.unity,WT.unity,BCUTp-1l,BCUTc-1l,BCUTw-1h,Wlambda1.unity,Weta1.unity,WK.unity,BCUTw-1l,WA.unity,Wnu1.unity,Wlambda3.unity,WV.unity,Wnu2.unity,Wlambda2.unity,Weta3.unity
Clc1ccc2N(C)C(=O)CN=C(c3ccccc3)c2c1, 11.5723552703857, 0.224767431616783, , , , , , , , 5.08248996734619, -0.283073008060455, 34.9688529968262, , , , 11.8500003814697, , , , , , , 
CCOc1ccccc1C(=N)O, 9.01569557189941, 0.166608363389969, , , , , , , , 5.01782417297363, -0.371759384870529, 15.9982604980469, , , , 11.9962692260742, , , , , , , 
OCC(N=C(O)c1c(I)c(N(C)C(=O)CC(=O)N(C)c2c(I)c(C(=NC(CO)C(O)CO)O)c(I)c(C(=NC(CO)C(O)CO)O)c2I)c(I)c(C(=NC(CO)C(O)CO)O)c1I)C(O)CO, 17.7514324188232, 0.213907063007355, , , , , , , , 4.36719560623169, -0.417951107025146, 126.909477233887, , , , 11.9960985183716, , , , , , , 
O=C1C=CC2(C)C(=C1)C(=C)CC1[C@@H]2CCC2(C)C(=O)CC[C@@H]12, 13.0109777450562, 0.178516626358032, , , , , , , , 4.9944896697998, -0.298710972070694, 15.995924949646, , , , 11.8999996185303, , , , , , , 
CCCCC[C@H](O)/C=C/C1C(O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O, 10.5324649810791, 0.278441935777664, , , , , , , , 3.74286937713623, -0.392074644565582, 16.0000038146973, , , , 11.996150970459, , , , , , , 
CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1, 9.87000274658203, 0.291337907314301, , , , , , , , 4.92464828491211, -0.381655216217041, 15.9969272613525, , , , 11.8999996185303, , , , , , , 
COc1ccc(nn1)NS(=O)(=O)c1ccc(N)cc1, 11.4541778564453, 0.222062006592751, , , , , , , , 4.65378522872925, -0.355826914310455, 31.9720726013184, , , , 11.8500003814697, , , , , , , 
SC[C@H](N=C(C)O)C(=O)O, 9.04600620269775, 0.303745537996292, , , , , , , , 4.28805541992188, -0.349544316530228, 31.9720706939697, , , , 11.9964008331299, , , , , , , 
[Na+].CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)N(CCCCS(=O)(=O)[O-])c2ccc3ccccc3c12, 12.7026290893555, 0.347815603017807, , , , , , , , -5.94289122091141e-06, -0.36509957909584, 31.9730758666992, , , , 11.8500003814697, , , , , , , 
CC(=O)Oc1ccc(cc1)C(=C1CCCCC1)c1ccc(cc1)OC(=O)C, 12.3950233459473, 0.302303671836853, , , , , , , , 3.95422220230103, -0.306516110897064, 15.9979381561279, , , , 11.8900003433228, , , , , , , 
CBr.CN1[C@H]2CC[C@@H]1CC(OC(=O)C(O)c1ccccc1)C2, 9.21123123168945, 0.291348189115524, , , , , , , , 4.88766670227051, -0.381667882204056, 78.9183349609375, , , , 11.8999996185303, , , , , , , 
OC[C@@H](O)[C@@H](O)C1OC(=C[C@H](NC(=N)N)[C@H]1N=C(C)O)C(=O)O, 10.9188508987427, 0.331853955984116, , , , , , , , 4.29957246780396, -0.393630772829056, 16.0016632080078, , , , 11.9962186813354, , , , , , , 
CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1, 12.0934591293335, 0.268085658550262, , , , , , , , 5.50602436065674, -0.313999474048615, 15.995924949646, , , , 11.8999996185303, , , , , , , 
N[C@H](c1ccccc1)C(=NC1C(=O)N2[C@@H]1SCC(=C2C(=O)O)Cl)O, 11.8382091522217, 0.303934782743454, , , , , , , , 4.7830605506897, -0.370203703641891, 34.9688529968262, , , , 11.9961862564087, , , , , , , 
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@](C)(OC)C2)C(C)[C@@H](OC2O[C@H](C)CC(N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O, 12.4803838729858, 0.267189085483551, , , , , , , , 5.28004932403564, -0.407775282859802, 16.0074024200439, , , , 11.9960966110229, , , , , , , 
CCC1C(=O)OC[C@@H]1Cc1cncn1C, 9.64826107025146, 0.264987051486969, , , , , , , , 4.44994783401489, -0.31744247674942, 15.995922088623, , , , 11.9934062957764, , , , , , , 
C#CCN(C)C(C)Cc1ccccc1, 9.45966815948486, 0.128964990377426, , , , , , , , 4.609938621521, -0.292337775230408, 14.003080368042, , , , 11.8500003814697, , , , , , , 
OCC1O[C@H](C[C@@H]1O)n1cnc2[C@H](O)CN=CNc12, 9.61139011383057, 0.283198714256287, , , , , , , , 4.28656530380249, -0.393389046192169, 15.9979333877563, , , , 11.8500003814697, , , , , , , 
NCCCCCC(=O)O, 7.07047462463379, 0.278708428144455, , , , , , , , 3.6994788646698, -0.351397484540939, 15.9982595443726, , , , 11.9963550567627, , , , , , , 
COc1cc(cc(OC)c1O)[C@H]1[C@H]2C(=O)OCC2C(OC2OC3COC(O[C@H]3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12, 12.7369394302368, 0.265625476837158, , , , , , , , 5.03796768188477, -0.387410849332809, 31.9720726013184, , , , 11.8500003814697, , , , , , , 
[Cl-].[Cl-].COc1cc(cc(OC)c1OC)C[C@@H]1c2c(CC[N+]1(C)CCCOC(=O)CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)c(OC)c3[C@@H]1Cc1cc(OC)c(OC)c(OC)c1)cc(OC)c(OC)c2OC, 13.1805019378662, 0.263872146606445, , , , , , , , 2.34200000762939, -0.398476600646973, 34.9698600769043, , , , 11.996075630188, , , , , , , 
OCC(N)C(=NNCc1ccc(O)c(O)c1O)O, 9.04315853118896, 0.195751518011093, , , , , , , , 4.27306938171387, -0.393904536962509, 16.0, , , , 11.9962491989136, , , , , , , 
O=C(OCC(COC(=O)c1cccnc1)(COC(=O)c1cccnc1)COC(=O)c1cccnc1)c1cccnc1, 11.5379161834717, 0.274612665176392, , , , , , , , 4.88962078094482, -0.31527116894722, 16.001989364624, , , , 11.8500003814697, , , , , , , 
Cn1cnc(N(=O)=O)c1Sc1ncnc2[nH]cnc12, 11.2368860244751, 0.300104588270187, , , , , , , , 3.82044148445129, -0.266490250825882, 31.9720726013184, , , , 11.8500003814697, , , , , , , 
CN(C)CCOC(C)(c1ccccc1)c1ccccn1, 11.7221927642822, 0.151844650506973, , , , , , , , 5.64162874221802, -0.370613664388657, 15.9949197769165, , , , 11.9883184432983, , , , , , , 
OC(CCN1CCCC1)(C1CCCCC1)c1ccccc1, 12.0731935501099, 0.146810874342918, , , , , , , , 6.7945818901062, -0.388368457555771, 15.9949197769165, , , , 11.8500003814697, , , , , , , 
