SMILES,naAromAtom,nAtom,nAtomLC,nRotB,nB,nAromBond,LipinskiFailures,ALogP,MLogP,XLogP,AMR,ALogp2,nAtomLAC,nHBDon,nAtomP,LipinksiFailures
InChI%3D1S%2FC8H6O%2Fc1-2-4-8-7%283-1%295-6-9-8%2Fh1-6H, 6.0, 15.0, 0.0, 0.0, 10.0, 10.0, 0.0, -0.154100000858307, 2.23000001907349, 2.64599990844727, 1.61909997463226, 0.0237468108534813, 0.0, 0.0, 7.0, 
InChI%3D1S%2FC18H12O6%2Fc1-21-11-7-12-13%288-5-6-22-18%288%2924-12%2917-15%2811%2916%2820%2914-9%2819%293-2-4-10%2814%2923-17%2Fh2-8%2C18-19H%2C1H3, 12.0, 36.0, 2.0, 1.0, 28.0, 12.0, 0.0, -1.46529996395111, 2.77999997138977, 1.72200000286102, 35.6242980957031, 2.14710402488708, 0.0, 1.0, 18.0, 
InChI%3D1S%2FC4H8N2O%2Fc1-3-5-6%282%294-7%2Fh3-4H%2C1-2H3, 0.0, 15.0, 7.0, 2.0, 6.0, 0.0, 0.0, -0.625699996948242, 1.57000005245209, 0.550999999046326, 27.4659996032715, 0.391500502824783, 2.0, 0.0, 5.0, 
InChI%3D1S%2FC8H14ClNS2%2Fc1-4-10%285-2%298%2811%2912-6-7%283%299%2Fh3-6H2%2C1-2H3, 0.0, 26.0, 12.0, 6.0, 11.0, 0.0, 0.0, 3.16650009155273, 1.89999997615814, 2.74499988555908, 62.7835998535156, 10.0267219543457, 3.0, 0.0, 3.0, 
InChI%3D1S%2FC6H12N2.2ClH%2Fc1-3-5-7-8-6-4-2%3B%3B%2Fh3-4%2C7-8H%2C1-2%2C5-6H2%3B2%2A1H, 0.0, 24.0, 8.0, 5.0, 7.0, 0.0, 0.0, 0.597400009632111, 1.67999994754791, 2.83800005912781, 36.3188018798828, 0.356886774301529, 3.0, 2.0, 2.0, 
InChI%3D1S%2FC7H10N2.2ClH%2Fc1-5-2-3-6%288%294-7%285%299%3B%3B%2Fh2-4H%2C8-9H2%2C1H3%3B2%2A1H, 6.0, 23.0, 0.0, 0.0, 9.0, 6.0, 0.0, -0.857800006866455, 1.78999996185303, 1.87199997901917, 13.9462995529175, 0.735820829868317, 0.0, 2.0, 8.0, 
InChI%3D1S%2FC2H2Cl4%2Fc3-1%284%292%285%296%2Fh1-2H, 0.0, 8.0, 6.0, 1.0, 5.0, 0.0, 0.0, 2.39919996261597, 1.24000000953674, 2.57599997520447, 30.7637996673584, 5.75616073608398, 2.0, 0.0, 0.0, 
InChI%3D1S%2FC13H14N2.2ClH%2Fc14-12-5-1-10%282-6-12%299-11-3-7-13%2815%298-4-11%3B%3B%2Fh1-8H%2C9%2C14-15H2%3B2%2A1H, 12.0, 33.0, 0.0, 2.0, 16.0, 12.0, 0.0, -1.04359996318817, 2.45000004768372, 4.71500015258789, 13.0452003479004, 1.08910095691681, 0.0, 2.0, 7.0, 
InChI%3D1S%2FC6H7N3O%2Fc7-9-6%2810%295-2-1-3-8-4-5%2Fh1-4H%2C7H2%2C%28H%2C9%2C10%29, 6.0, 17.0, 4.0, 1.0, 10.0, 6.0, 0.0, -0.677100002765656, 1.67999994754791, 0.319999992847443, 13.7604999542236, 0.458464413881302, 0.0, 2.0, 10.0, 
InChI%3D1S%2FC2H4Cl2O%2Fc3-1-5-2-4%2Fh1-2H2, 0.0, 9.0, 5.0, 2.0, 4.0, 0.0, 0.0, 0.924300014972687, 1.35000002384186, 0.833999991416931, 22.2912998199463, 0.854330480098724, 0.0, 0.0, 0.0, 
InChI%3D1S%2FC12H10N2O%2Fc15-14-12-8-6-11%287-9-12%2913-10-4-2-1-3-5-10%2Fh1-9%2C13H, 12.0, 25.0, 2.0, 3.0, 16.0, 12.0, 0.0, -0.443699985742569, 2.45000004768372, 4.23400020599365, 4.74289989471436, 0.196869686245918, 0.0, 1.0, 15.0, 
InChI%3D1S%2FC13H19NO4S%2Fc1-3-9-14%2810-4-2%2919%2817%2C18%2912-7-5-11%286-8-12%2913%2815%2916%2Fh5-8H%2C3-4%2C9-10H2%2C1-2H3%2C%28H%2C15%2C16%29, 6.0, 38.0, 10.0, 7.0, 19.0, 6.0, 0.0, -1.62650001049042, 2.23000001907349, 2.30800008773804, 45.4058990478516, 2.64550232887268, 3.0, 1.0, 13.0, 
InChI%3D1S%2FC4H7NO2%2Fc1-2-4%287%295-3-6%2Fh2%2C6H%2C1%2C3H2%2C%28H%2C5%2C7%29, 0.0, 14.0, 7.0, 2.0, 6.0, 0.0, 0.0, -1.04579997062683, 1.57000005245209, -0.151999995112419, 25.4099998474121, 1.09369766712189, 3.0, 2.0, 5.0, 
InChI%3D1S%2FC2H6N2O%2Fc1-2%285%294-3%2Fh3H2%2C1H3%2C%28H%2C4%2C5%29, 0.0, 11.0, 5.0, 0.0, 4.0, 0.0, 0.0, -0.667200028896332, 1.35000002384186, -0.397000014781952, 19.1849002838135, 0.445155829191208, 2.0, 2.0, 4.0, 
InChI%3D1S%2FC6H13NO%2Fc1-2-3-4-5-6%287%298%2Fh2-5H2%2C1H3%2C%28H2%2C7%2C8%29, 0.0, 21.0, 8.0, 4.0, 7.0, 0.0, 0.0, -0.859499990940094, 1.89999997615814, 2.28600001335144, 27.6590995788574, 0.738740265369415, 6.0, 2.0, 3.0, 
InChI%3D1S%2FC12H10Cl2N2.2ClH%2Fc13-9-5-7%281-3-11%289%2915%298-2-4-12%2816%2910%2814%296-8%3B%3B%2Fh1-6H%2C15-16H2%3B2%2A1H, 12.0, 30.0, 0.0, 1.0, 17.0, 12.0, 0.0, -0.0111999996006489, 2.11999988555908, 3.91599988937378, 19.6753997802734, 0.000125439997646026, 0.0, 2.0, 14.0, 
InChI%3D1S%2FC7H5N3O3S%2Fc8-7-9-4%283-14-7%295-1-2-6%2813-5%2910%2811%2912%2Fh1-3H%2C%28H2%2C8%2C9%29, 5.0, 21.0, 2.0, 2.0, 15.0, 5.0, 0.0, 0.392899990081787, 1.46000003814697, 1.60199999809265, 29.1082000732422, 0.154370412230492, 0.0, 2.0, 8.0, 
InChI%3D1S%2FC2H5N%2Fc1-2-3-1%2Fh3H%2C1-2H2, 0.0, 8.0, 0.0, 0.0, 3.0, 0.0, 0.0, -0.397199988365173, 1.57000005245209, -0.386000007390976, 12.7243995666504, 0.157767847180367, 0.0, 1.0, 0.0, 
InChI%3D1S%2FC6H12N2O3%2Fc1-8%282%297-5%289%293-4-6%2810%2911%2Fh3-4H2%2C1-2H3%2C%28H%2C7%2C9%29%28H%2C10%2C11%29, 0.0, 23.0, 11.0, 4.0, 10.0, 0.0, 0.0, -0.034000001847744, 1.57000005245209, -0.247999995946884, 39.0854988098145, 0.00115599995478988, 4.0, 2.0, 4.0, 
InChI%3D1S%2FC8H13NO2.ClH%2Fc1-9-5-3-4-7%286-9%298%2810%2911-2%3B%2Fh4H%2C3%2C5-6H2%2C1-2H3%3B1H, 0.0, 26.0, 4.0, 2.0, 11.0, 0.0, 0.0, 0.134100005030632, 1.89999997615814, 0.684000015258789, 42.0176010131836, 0.0179828107357025, 0.0, 0.0, 5.0, 
InChI%3D1S%2FC6H9N3O3%2Fc1-5-7-4-6%289%2811%2912%298%285%292-3-10%2Fh4%2C10H%2C2-3H2%2C1H3, 0.0, 21.0, 3.0, 3.0, 12.0, 5.0, 0.0, -0.419200003147125, 1.46000003814697, 0.017000000923872, 23.6714992523193, 0.175728633999825, 2.0, 2.0, 2.0, 
InChI%3D1S%2FMo.3H2O%2Fh%3B3%2A1H2, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 1.01999998092651, -1.40100002288818, , , 0.0, 3.0, 0.0, 
InChI%3D1S%2FC14H9NO2%2Fc15-8-5-6-11-12%287-8%2914%2817%2910-4-2-1-3-9%2810%2913%2811%2916%2Fh1-7H%2C15H2, 12.0, 26.0, 0.0, 0.0, 19.0, 12.0, 0.0, -1.2775000333786, 2.67000007629395, 2.62199997901917, 14.9140996932983, 1.63200628757477, 0.0, 1.0, 17.0, 
InChI%3D1S%2FC11H7N3O3%2Fc15-14%2816%2911-5-4-9%2817-11%298-7-12-10-3-1-2-6-13%288%2910%2Fh1-7H, 14.0, 24.0, 3.0, 2.0, 19.0, 15.0, 0.0, -0.1875, 2.00999999046326, 2.58500003814697, 7.40290021896362, 0.03515625, 0.0, 0.0, 17.0, 
InChI%3D1S%2FC6H4O2%2Fc7-5-1-2-6%288%294-3-5%2Fh1-4H, 0.0, 12.0, 0.0, 0.0, 8.0, 0.0, 0.0, -0.0187999997287989, 1.89999997615814, -0.228000000119209, 31.0287990570068, 0.000353440002072603, 0.0, 0.0, 8.0, 
InChI%3D1S%2FC6H7N3O2%2Fc7-4-1-2-5%288%296%283-4%299%2810%2911%2Fh1-3H%2C7-8H2, 6.0, 18.0, 2.0, 1.0, 11.0, 6.0, 0.0, -1.54639995098114, 1.57000005245209, 1.48099994659424, 11.3299999237061, 2.391352891922, 0.0, 2.0, 11.0, 
InChI%3D1S%2FC3H6Cl2%2Fc1-3%285%292-4%2Fh3H%2C2H2%2C1H3, 0.0, 11.0, 5.0, 1.0, 4.0, 0.0, 0.0, 1.50109994411469, 1.57000005245209, 2.03699994087219, 25.2399997711182, 2.25330114364624, 3.0, 0.0, 0.0, 
InChI%3D1S%2FC6H6%2Fc1-2-4-6-5-3-1%2Fh1-6H, 6.0, 12.0, 0.0, 0.0, 6.0, 6.0, 0.0, 0.0, 2.11999988555908, 4.06199979782104, 0.0, 0.0, 0.0, 0.0, 6.0, 
InChI%3D1S%2FC11H11N5%2Fc1-6-5-13-7-3-4-8-10%289%287%2914-6%2915-11%2812%2916%288%292%2Fh3-5H%2C1-2H3%2C%28H2%2C12%2C15%29, 10.0, 27.0, 0.0, 0.0, 18.0, 11.0, 0.0, 0.0723000019788742, 2.11999988555908, 2.33800005912781, 22.6289005279541, 0.00522729009389877, 0.0, 2.0, 14.0, 
InChI%3D1S%2FC10H14N5O4%2Fc1-5-3-15%2810%2818%2912-9%285%2917%298-2-6%2813-14-11%297%284-16%2919-8%2Fh3%2C6-8%2C11%2C16H%2C2%2C4H2%2C1H3%2C%28H%2C12%2C17%2C18%29%2Ft6-%2C7%3F%2C8%2B%2Fm0%2Fs1, 0.0, 36.0, 3.0, 3.0, 20.0, 0.0, 0.0, -4.2487998008728, 1.57000005245209, -0.907000005245209, 55.6195983886719, 18.0523014068604, 0.0, 4.0, 4.0, 
InChI%3D1S%2FC12H7Cl2NO3%2Fc13-8-1-6-12%2811%2814%297-8%2918-10-4-2-9%283-5-10%2915%2816%2917%2Fh1-7H, 12.0, 25.0, 2.0, 3.0, 19.0, 12.0, 0.0, 1.2878999710083, 2.11999988555908, 4.76300001144409, 15.7361001968384, 1.65868639945984, 0.0, 0.0, 16.0, 
InChI%3D1S%2FC2HCl5%2Fc3-1%284%292%285%2C6%297%2Fh1H, 0.0, 8.0, 7.0, 1.0, 6.0, 0.0, 0.0, 2.88779997825623, 1.12999999523163, 3.22900009155273, 36.3208999633789, 8.33938884735107, 2.0, 0.0, 0.0, 
InChI%3D1S%2FC9H4Cl3NO2S%2Fc10-9%2811%2C12%2916-13-7%2814%295-3-1-2-4-6%285%298%2813%2915%2Fh1-4H, 6.0, 20.0, 5.0, 2.0, 17.0, 6.0, 0.0, 2.93129992485046, 1.67999994754791, 3.80200004577637, 40.8891983032227, 8.59251976013184, 0.0, 0.0, 11.0, 
InChI%3D1S%2FC2H2Cl4%2Fc3-1-2%284%2C5%296%2Fh1H2, 0.0, 8.0, 6.0, 1.0, 5.0, 0.0, 0.0, 2.44409990310669, 1.24000000953674, 2.81100010871887, 31.2667999267578, 5.97362470626831, 2.0, 0.0, 0.0, 
InChI%3D1S%2FC42H50Cl4N2O4%2Fc1-42-17-16-36-35-13-11-34%2851-40%2849%2926-29-2-7-32%288-3-29%2947%2822-18-43%2923-19-44%2928-31%2835%296-12-37%2836%2938%2842%2914-15-39%2842%2952-41%2850%2927-30-4-9-33%2810-5-30%2948%2824-20-45%2925-21-46%2Fh2-5%2C7-11%2C13%2C28%2C36-39H%2C6%2C12%2C14-27H2%2C1H3%2Ft36-%2C37%3F%2C38%2B%2C39%2B%2C42%3F%2Fm1%2Fs1, 18.0, 102.0, 7.0, 18.0, 57.0, 18.0, 2.0, 3.43449997901917, 4.98000001907349, 12.5939998626709, 135.104705810547, 11.7957906723022, 2.0, 0.0, 9.0, 
InChI%3D1S%2FC14H16N2.2ClH%2Fc1-9-7-11%283-5-13%289%2915%2912-4-6-14%2816%2910%282%298-12%3B%3B%2Fh3-8H%2C15-16H2%2C1-2H3%3B2%2A1H, 12.0, 36.0, 0.0, 1.0, 17.0, 12.0, 0.0, -0.215800002217293, 2.55999994277954, 4.36999988555908, 19.4484004974365, 0.0465696416795254, 0.0, 2.0, 14.0, 
InChI%3D1S%2FC8H15N3O7%2Fc1-11%2810-17%298%2816%299-4-6%2814%295%2813%293%282-12%2918-7%284%2915%2Fh3-7%2C12-15H%2C2H2%2C1H3%2C%28H%2C9%2C16%29%2Ft3%3F%2C4%3F%2C5-%2C6-%2C7%2B%2Fm1%2Fs1, 0.0, 33.0, 7.0, 4.0, 18.0, 0.0, 0.0, -1.73989999294281, 1.24000000953674, -2.33699989318848, 56.0966987609863, 3.02725195884705, 0.0, 5.0, 6.0, 
InChI%3D1S%2FC12H11N3.C2H4O2%2Fc1-7-12-8-4-2-3-5-9%288%2915-10%2812%296-11%2813%2914-7%3B1-2%283%294%2Fh2-6%2C15H%2C1H3%2C%28H2%2C13%2C14%29%3B1H3%2C%28H%2C3%2C4%29, 6.0, 35.0, 4.0, 0.0, 20.0, 10.0, , -0.670799970626831, 2.45000004768372, , 35.1880989074707, 0.449972629547119, 2.0, 3.0, 7.0, 
InChI%3D1S%2FC4H9NO2%2Fc1-4%282%293-7-5-6%2Fh4H%2C3H2%2C1-2H3, 0.0, 16.0, 7.0, 3.0, 6.0, 0.0, 0.0, -1.46490001678467, 1.57000005245209, 1.92999994754791, 25.7915000915527, 2.14593195915222, 3.0, 0.0, 3.0, 
InChI%3D1S%2FC3H4O2%2Fc4-3-1-2-5-3%2Fh1-2H2, 0.0, 9.0, 0.0, 0.0, 5.0, 0.0, 0.0, -0.0447000004351139, 1.57000005245209, -0.138999998569489, 15.5530996322632, 0.00199808995239437, 0.0, 0.0, 3.0, 
InChI%3D1S%2FC10H8N4%2Fc11-8-5-4-7-10%2813-8%2914-6-2-1-3-9%2814%2912-7%2Fh1-6H%2C%28H2%2C11%2C13%29, 0.0, 28.0, 0.0, 0.0, 16.0, 5.0, 0.0, -1.02540004253387, 2.11999988555908, 1.56900000572205, 34.0446014404297, 1.05144512653351, 0.0, 3.0, 3.0, 
InChI%3D1S%2FC14H10Cl4%2Fc15-11-5-1-9%282-6-11%2913%2814%2817%2918%2910-3-7-12%2816%298-4-10%2Fh1-8%2C13-14H, 12.0, 28.0, 4.0, 3.0, 19.0, 12.0, 1.0, 2.6538999080658, 2.55999994277954, 6.36700010299683, 30.1860008239746, 7.04318523406982, 2.0, 0.0, 6.0, 
InChI%3D1S%2FC13H18Cl2N2O2%2Fc14-5-7-17%288-6-15%2911-3-1-10%282-4-11%299-12%2816%2913%2818%2919%2Fh1-4%2C12H%2C5-9%2C16H2%2C%28H%2C18%2C19%29%2Ft12-%2Fm0%2Fs1, 6.0, 37.0, 7.0, 8.0, 19.0, 6.0, 0.0, 0.463800013065338, 2.23000001907349, 0.514999985694885, 52.6076011657715, 0.215110436081886, 3.0, 2.0, 7.0, 
InChI%3D1S%2FC3H6O%2Fc1-3-2-4-3%2Fh3H%2C2H2%2C1H3, 0.0, 10.0, 0.0, 0.0, 4.0, 0.0, 0.0, -0.141599997878075, 1.67999994754791, 0.270000010728836, 15.6279001235962, 0.0200505591928959, 0.0, 0.0, 0.0, 
InChI%3D1S%2FC7H10N2.2ClH%2Fc8-9-6-7-4-2-1-3-5-7%3B%3B%2Fh1-5%2C9H%2C6%2C8H2%3B2%2A1H, 6.0, 23.0, 3.0, 2.0, 9.0, 6.0, 0.0, -1.00429999828339, 1.78999996185303, 3.14199995994568, 13.2962999343872, 1.00861847400665, 0.0, 2.0, 6.0, 
InChI%3D1S%2FC12H4Cl4O2%2Fc13-5-1-9-10%282-6%285%2914%2918-12-4-8%2816%297%2815%293-11%2812%2917-9%2Fh1-4H, 12.0, 22.0, 0.0, 0.0, 20.0, 12.0, 0.0, 2.66899991035461, 2.11999988555908, 4.15999984741211, 25.7005996704102, 7.12356090545654, 0.0, 0.0, 14.0, 
InChI%3D1S%2FC26H29NO.C6H8O7%2Fc1-4-25%2821-11-7-5-8-12-21%2926%2822-13-9-6-10-14-22%2923-15-17-24%2818-16-23%2928-20-19-27%282%293%3B7-3%288%291-6%2813%2C5%2811%2912%292-4%289%2910%2Fh5-18H%2C4%2C19-20H2%2C1-3H3%3B13H%2C1-2H2%2C%28H%2C7%2C8%29%28H%2C9%2C10%29%28H%2C11%2C12%29, 18.0, 78.0, 13.0, 13.0, 42.0, 18.0, 2.0, -0.924600005149841, 3.99000000953674, 8.50899982452393, 79.1876983642578, 0.854885160923004, 5.0, 4.0, 21.0, 
InChI%3D1S%2FC4H3FN2O2%2Fc5-2-1-6-4%289%297-3%282%298%2Fh1H%2C%28H2%2C6%2C7%2C8%2C9%29, 6.0, 12.0, 0.0, 0.0, 9.0, 6.0, 0.0, -0.4408999979496, 1.35000002384186, -0.503000020980835, 6.00169992446899, 0.194392815232277, 0.0, 2.0, 8.0, 
InChI%3D1S%2FC3H5NO2%2Fc1-2-6-3%284%295%2Fh2H%2C1H2%2C%28H2%2C4%2C5%29, 0.0, 11.0, 6.0, 2.0, 5.0, 0.0, 0.0, 0.655700027942657, 1.46000003814697, 0.949999988079071, 19.2166004180908, 0.429942488670349, 0.0, 2.0, 6.0, 
InChI%3D1S%2FC7H8ClN%2Fc1-5-2-3-6%288%294-7%285%299%2Fh2-4H%2C9H2%2C1H3, 6.0, 17.0, 0.0, 0.0, 9.0, 6.0, 0.0, 0.636399984359741, 2.00999999046326, 1.97399997711182, 15.3397998809814, 0.405004948377609, 0.0, 1.0, 7.0, 
InChI%3D1S%2FC6H10O2%2Fc1-2-3-7-4-6-5-8-6%2Fh2%2C6H%2C1%2C3-5H2, 0.0, 18.0, 5.0, 4.0, 8.0, 0.0, 0.0, 0.383700013160706, 1.89999997615814, 0.272000014781952, 30.919900894165, 0.147225692868233, 3.0, 0.0, 2.0, 
InChI%3D1S%2FC12H9N%2Fc1-3-7-11-9%285-1%2910-6-2-4-8-12%2810%2913-11%2Fh1-8%2C13H, 12.0, 21.0, 0.0, 0.0, 15.0, 15.0, 0.0, 0.0, 2.67000007629395, 4.19000005722046, 0.0, 0.0, 0.0, 1.0, 13.0, 
InChI%3D1S%2FCH2Cl2%2Fc2-1-3%2Fh1H2, 0.0, 5.0, 3.0, 0.0, 2.0, 0.0, 0.0, 1.07290005683899, 1.35000002384186, 1.51900005340576, 16.4382991790771, 1.15111446380615, 0.0, 0.0, 0.0, 
InChI%3D1S%2FC20H38N6O4%2Fc1-12%282%299-16%2824-14%285%2928%2919%2830%2926-17%2810-13%283%294%2918%2829%2925-15%2811-27%297-6-8-23-20%2821%2922%2Fh11-13%2C15-17H%2C6-10H2%2C1-5H3%2C%28H%2C24%2C28%29%28H%2C25%2C29%29%28H%2C26%2C30%29%28H4%2C21%2C22%2C23%29%2Ft15-%2C16-%2C17-%2Fm0%2Fs1, 0.0, 68.0, 30.0, 15.0, 29.0, 0.0, 2.0, -0.275499999523163, 2.55999994277954, 2.73799991607666, 106.290199279785, 0.0759002491831779, 5.0, 6.0, 4.0, 
InChI%3D1S%2FC2H4Cl2%2Fc3-1-2-4%2Fh1-2H2, 0.0, 8.0, 4.0, 1.0, 3.0, 0.0, 0.0, 1.51180005073547, 1.46000003814697, 1.74000000953674, 20.6555995941162, 2.28553915023804, 2.0, 0.0, 0.0, 
InChI%3D1S%2FC3H5Br2Cl%2Fc4-1-3%285%292-6%2Fh3H%2C1-2H2, 0.0, 11.0, 6.0, 2.0, 5.0, 0.0, 0.0, 2.49469995498657, 1.46000003814697, 3.0550000667572, 35.636100769043, 6.2235279083252, 3.0, 0.0, 0.0, 
InChI%3D1S%2FC6H6N4O4%2Fc7-6%2811%299-8-3-4-1-2-5%2814-4%2910%2812%2913%2Fh1-3H%2C%28H3%2C7%2C9%2C11%29%2Fb8-3-, 5.0, 20.0, 6.0, 4.0, 14.0, 5.0, 0.0, -0.309399992227554, 1.24000000953674, 2.30399990081787, 23.0333995819092, 0.0957283601164818, 0.0, 3.0, 14.0, 
