SMILES,WD.unity,Weta3.unity,BCUTw-1h,Weta2.unity,BCUTp-1l,BCUTw-1l,BCUTc-1h,WA.unity,Wnu1.unity,Wlambda3.unity,Wlambda1.unity,WK.unity,Weta1.unity,Wnu2.unity,Wlambda2.unity,WV.unity,WT.unity,BCUTp-1h,BCUTc-1l
InChI%3D1S%2FC26H34O6%2Fc1-25%282%2C23%2827%2928%2914-8-16-31-20-12-13-22%2821%2818-20%2919-10-6-5-7-11-19%2932-17-9-15-26%283%2C4%2924%2829%2930%2Fh5-7%2C10-13%2C18H%2C8-9%2C14-17H2%2C1-4H3%2C%28H%2C27%2C28%29%28H%2C29%2C30%29,1.2365700006485,0.559165835380554,16.0066566467285,0.292782634496689,4.32627773284912,11.9883632659912,0.337834179401398,164.246139526367,0.057684239000082,27.8371086120605,1.93126094341278,0.373593509197235,0.384621560573578,0.110857754945755,3.71150374412537,397.259124755859,33.4798736572266,10.7343349456787,-0.346152812242508
InChI%3D1S%2FC7H9N%2Fc1-6-4-2-3-5-7%286%298%2Fh2-5H%2C8H2%2C1H3,1.2299622297287,0.570332825183868,14.0090999603271,0.519131898880005,5.71616888046265,11.9935121536255,0.0497513934969902,8.94189262390137,0.0186971444636583,3.51669049263,0.111891835927963,0.190729662775993,0.14049756526947,0.393663287162781,2.35585236549377,15.8533296585083,5.98443460464478,8.04589366912842,-0.33662161231041
InChI%3D1S%2FC7H5Cl2NO2%2Fc8-3-1-4%287%2811%2912%296%289%295%2810%292-3%2Fh1-2H%2C10H2%2C%28H%2C11%2C12%29,1.17461383342743,0.533460974693298,34.9701538085938,0.428023844957352,4.47721290588379,11.9985513687134,0.292752802371979,12.6462259292603,0.0170118194073439,4.55726718902588,0.123543992638588,0.220646530389786,0.213129058480263,0.355459481477737,2.58143377304077,21.3618774414062,7.2622447013855,9.81963443756104,-0.32770636677742
InChI%3D1S%2FC6H6O2%2Fc7-5-3-1-2-4-6%285%298%2Fh1-4%2C7-8H,1.29335200786591,0.563985228538513,15.9982585906982,0.58466374874115,4.70625352859497,11.9963550567627,0.126760989427567,6.17835140228271,2.2290027601457e-08,2.79102730751038,1.11554349757625e-07,0.168263018131256,0.144703090190887,0.442315936088562,2.21364760398865,11.1830272674561,5.00467491149902,6.95473098754883,-0.382762879133224
InChI%3D1S%2FC6H7N3O2%2Fc7-4-1-2-5%288%296%283-4%299%2810%2911%2Fh1-3H%2C7-8H2,1.23901963233948,0.537590146064758,16.0168724060059,0.502617180347443,3.67611265182495,11.9989995956421,0.178614720702171,10.8397445678711,0.00555128650739789,4.40790462493896,0.0380061492323875,0.232873365283012,0.19881235063076,0.350617557764053,2.40045666694641,18.0882549285889,6.84636783599854,8.16389083862305,-0.323234558105469
InChI%3D1S%2FC7H9N3O%2Fc8-7%2811%2910-9-6-4-2-1-3-5-6%2Fh1-5%2C9H%2C%28H3%2C8%2C10%2C11%29,1.24891376495361,0.534788191318512,15.9949178695679,0.457554459571838,4.48026514053345,11.8500003814697,0.221419751644135,13.2220525741577,0.0444427616894245,6.44346380233765,0.373475342988968,0.325068771839142,0.256571173667908,0.188798874616623,1.58657383918762,25.4436168670654,8.40351295471191,8.39475631713867,-0.335241287946701
InChI%3D1S%2FC6H6N6O%2Fc1-12%2811-13%296-4-5%288-2-7-4%299-3-10-6%2Fh2-3H%2C1H3%2C%28H%2C7%2C8%2C9%2C10%29,1.22960925102234,0.570092380046844,15.9949188232422,0.398394018411636,3.40919971466064,11.9945430755615,0.153810679912567,14.8400888442993,0.0242930594831705,5.41254138946533,0.195933192968369,0.253311306238174,0.261122912168503,0.304625183343887,2.45692348480225,25.5110454559326,8.06539821624756,9.06374835968018,-0.295512080192566
InChI%3D1S%2FC16H11N3O6%2Fc1-18-8-12%2816%2821%2922%2914%2820%2911-6-3-9%2817-15%2811%2918%292-4-10-5-7-13%2825-10%2919%2823%2924%2Fh2-8H%2C1H3%2C%28H%2C21%2C22%29,1.314453125,0.521619617938995,,0.484267622232437,,,,46.1262168884277,0.156695246696472,6.72698545455933,1.95555019378662,0.15426729619503,0.30856591463089,0.304281681776047,3.79742288589478,108.561111450195,12.4799585342407,,
InChI%3D1S%2FC4H9NO%2Fc1-3-4%282%295-6%2Fh6H%2C3H2%2C1-2H3,1.4552206993103,0.634011268615723,16.0009727478027,0.421209961175919,3.80328798294067,11.9989995956421,0.0421749949455261,6.51901149749756,0.0623694397509098,3.06137943267822,0.313233941793442,0.207173928618431,0.399999469518661,0.32806533575058,1.64762091636658,13.1211957931519,5.02223443984985,6.81850528717041,-0.331851780414581
InChI%3D1S%2FC9H11NO2%2Fc1-2-12-8-6-4-3-5-7%288%299%2810%2911%2Fh3-6H%2C2H2%2C1H3%2C%28H2%2C10%2C11%29,1.13256728649139,0.533590257167816,15.9982604980469,0.425356149673462,5.01782417297363,11.9962692260742,0.189774960279465,19.0225067138672,0.0153777347877622,5.68852281570435,0.13773438334465,0.226333096623421,0.173620834946632,0.349511474370956,3.13048362731934,30.4319972991943,8.9567403793335,9.01569557189941,-0.367290049791336
InChI%3D1S%2FC8H13NO2%2Fc1-9-5-3-4-7%286-9%298%2810%2911-2%2Fh4H%2C3%2C5-6H2%2C1-2H3,1.39359140396118,0.512198626995087,15.9959192276001,0.492330223321915,4.54083251953125,11.9944725036621,0.289889454841614,18.1282901763916,0.0429804809391499,6.30536842346191,0.388377875089645,0.273345530033112,0.38906255364418,0.259225457906723,2.34239888191223,32.9006538391113,9.03614521026611,8.79600811004639,-0.329131782054901
InChI%3D1S%2FC8H10N2S%2Fc1-2-7-5-6%288%289%2911%293-4-10-7%2Fh3-5H%2C2H2%2C1H3%2C%28H2%2C9%2C11%29,1.29842245578766,0.563523292541504,31.972677230835,0.380241632461548,5.57255744934082,11.9984741210938,0.138115152716637,17.9064979553223,0.0891995131969452,5.83436679840088,0.770273566246033,0.25672522187233,0.354657560586929,0.235166862607002,2.03076004981995,35.6682548522949,8.63540077209473,9.96507358551025,-0.293129980564117
InChI%3D1S%2FC12H10N2O%2Fc15-14-12-8-6-11%287-9-12%2913-10-4-2-1-3-5-10%2Fh1-9%2C13H,1.57339382171631,0.555647015571594,15.9949188232422,0.568137586116791,3.40496802330017,11.8500003814697,0.107915632426739,23.5644454956055,0.0285027343779802,9.1268835067749,0.331483572721481,0.338583767414093,0.449609130620956,0.186718925833702,2.17151999473572,41.7640762329102,11.6298875808716,9.02811431884766,-0.258832335472107
InChI%3D1S%2FC6H7ClN2%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H%2C8-9H2,1.48211443424225,0.518357217311859,34.9688529968262,0.576745331287384,5.80192375183105,11.9935512542725,0.0744823962450027,8.26956272125244,0.00261551863513887,3.34071946144104,0.0151830138638616,0.18161952495575,0.387011885643005,0.421891778707504,2.44907021522522,14.1987581253052,5.80497264862061,8.60813617706299,-0.334154278039932
InChI%3D1S%2FC6H11NO2%2Fc1-3-5-6%284-2%297%288%299%2Fh5H%2C3-4H2%2C1-2H3,1.33518469333649,0.563406527042389,16.0168704986572,0.378775805234909,3.63411474227905,11.9989995956421,0.190624639391899,10.6902189254761,0.0974955037236214,5.39056253433228,0.704493463039398,0.309503704309464,0.393002361059189,0.156499579548836,1.1308513879776,22.2106647491455,7.22590732574463,7.84538078308105,-0.265907466411591
InChI%3D1S%2FC3H6O2%2Fc4-1-3-2-5-3%2Fh3-4H%2C1-2H2,1.51759850978851,0.556190729141235,15.9977836608887,0.526199638843536,3.65949654579163,11.9970207214355,0.10469364374876,2.66775417327881,0.12396551668644,2.25872492790222,0.411713689565659,0.260070472955704,0.435208112001419,0.195940524339676,0.650756776332855,6.59411954879761,3.32119536399841,5.44575548171997,-0.393309623003006
InChI%3D1S%2FC24H36O5%2Fc1-5-15%283%2924%2827%2929-21-11-14%282%2910-17-7-6-16%284%2920%2823%2817%2921%299-8-19-12-18%2825%2913-22%2826%2928-19%2Fh6-7%2C10%2C14-16%2C18-21%2C23%2C25H%2C5%2C8-9%2C11-13H2%2C1-4H3,0.91193962097168,0.170808419585228,15.9997577667236,0.34091329574585,4.24397087097168,11.996636390686,0.281334728002548,136.97004699707,0.187755137681961,12.4489450454712,4.08228015899658,0.179420605301857,0.400217890739441,0.23968406021595,5.21134805679321,423.553741455078,21.7425727844238,12.2281122207642,-0.391941726207733
InChI%3D1S%2FC6H4F4N2%2Fc7-1-2%288%295%2811%294%2810%296%2812%293%281%299%2Fh11-12H2,1.39707493782043,0.553705215454102,19.0020370483398,0.484593659639359,4.06046724319458,11.9975233078003,0.211468711495399,9.45505046844482,0.00189425621647388,3.87709903717041,0.0119496015831828,0.210949584841728,0.358776062726974,0.383506298065186,2.41928601264954,15.875470161438,6.30833435058594,7.48176908493042,-0.298506677150726
InChI%3D1S%2FC7H6N2O4%2Fc1-5-2-3-6%288%2810%2911%294-7%285%299%2812%2913%2Fh2-4H%2C1H3,1.25028252601624,0.521313905715942,16.0169982910156,0.509860515594482,3.59882807731628,11.9989995956421,0.175847336649895,12.7795658111572,0.0228026118129492,4.81993913650513,0.168454021215439,0.239334732294083,0.219108134508133,0.324751079082489,2.39909482002258,22.1149711608887,7.38748788833618,8.25090026855469,-0.275286048650742
