SMILES,WV.unity,Wnu1.unity,Wlambda3.unity,Wlambda1.unity,BCUTc-1l,BCUTw-1h,Wnu2.unity,WA.unity,WK.unity,Weta2.unity,BCUTw-1l,Weta1.unity,BCUTp-1h,WD.unity,BCUTc-1h,Weta3.unity,BCUTp-1l,WT.unity,Wlambda2.unity
InChI%3D1S%2FC14H15N3%2Fc1-10-5-3-4-6-14%2810%2917-16-12-7-8-13%2815%2911%282%299-12%2Fh3-9H%2C15H2%2C1-2H3,79.4010009765625,0.0258579794317484,13.8670034408569,0.441155582666397,-0.302281498908997,14.0050954818726,0.161338835954666,45.5015106201172,0.359602391719818,0.539102554321289,11.8500003814697,0.321642130613327,9.06227111816406,1.4818127155304,0.119769714772701,0.621068060398102,5.85982513427734,17.0607147216797,2.75255584716797
InChI%3D1S%2FC8H16N2O3%2Fc1-3-5-6-7-10%289-12%298%2811%2913-4-2%2Fh3-7H2%2C1-2H3,56.3242607116699,0.056655902415514,7.77935028076172,0.645477414131165,-0.301631897687912,15.9969234466553,0.260522186756134,30.0272464752197,0.262116432189941,0.380868405103683,11.8900003433228,0.464310199022293,7.68573617935181,1.41238260269165,0.362645000219345,0.567203938961029,3.36892461776733,11.3929424285889,2.96811413764954
InChI%3D1S%2FC6H7N3O%2Fc1-9%288-10%296-4-2-3-5-7-6%2Fh2-5H%2C1H3,19.0297393798828,0.0310675352811813,4.98759746551514,0.21605958044529,-0.30892750620842,15.9949178695679,0.251758217811584,10.1884717941284,0.287880688905716,0.534950137138367,11.9885530471802,0.367723733186722,8.06513118743896,1.51996493339539,0.13090854883194,0.61729109287262,3.29023146629333,6.95451307296753,1.75085580348969
InChI%3D1S%2FC17H14O6%2Fc1-20-10-6-11-14%288-4-5-21-17%288%2922-11%2915-13%2810%297-2-3-9%2818%2912%287%2916%2819%2923-15%2Fh4-6%2C8-9%2C17-18H%2C2-3H2%2C1H3,101.791122436523,0.0769757628440857,7.99262046813965,1.04849588871002,-0.391732186079025,15.9999399185181,0.336242645978928,49.7885475158691,0.190086185932159,0.386054337024689,11.8999996185303,0.403537094593048,11.1184425354004,1.33254301548004,0.272886484861374,0.542951583862305,4.98340892791748,13.6211175918579,4.58000087738037
InChI%3D1S%2FC6H6O2%2Fc7-5-1-2-6%288%294-3-5%2Fh1-4%2C7-8H,11.2116737365723,1.26664545518906e-09,3.36856341362,6.54085008378047e-09,-0.361396819353104,15.9959173202515,0.347672641277313,6.04775810241699,0.239245519042015,0.462286442518234,11.8500003814697,0.189125180244446,6.77386045455933,1.12618744373322,0.120624952018261,0.474775850772858,4.62259387969971,5.16391563415527,1.79535222053528
InChI%3D1S%2FC12H14N4%2Fc13-9-3-1-7%285-11%289%2915%298-2-4-10%2814%2912%2816%296-8%2Fh1-6H%2C13-16H2,46.6511116027832,0.00211682007648051,11.2919549942017,0.0298178177326918,-0.302005261182785,14.0060987472534,0.196247175335884,31.6342105865479,0.351227015256882,0.538953304290771,11.8500003814697,0.153542309999466,10.0137023925781,1.27005994319916,0.151954084634781,0.577564299106598,5.88872241973877,14.0861377716064,2.76436471939087
InChI%3D1S%2FC2H5NO2%2Fc1-5-2%283%294%2Fh1H3%2C%28H2%2C3%2C4%29,6.07023429870605,0.0555832386016846,2.1536705493927,0.179742217063904,-0.345405131578445,15.9982576370239,0.278418630361557,2.48796081542969,0.249498590826988,0.437376976013184,11.9966878890991,0.247048452496529,5.01932811737061,1.27575898170471,0.294618487358093,0.591333568096161,3.80779671669006,3.2337486743927,0.900335907936096
InChI%3D1S%2FC5H10N2O%2Fc8-6-7-4-2-1-3-5-7%2Fh1-5H2,13.7149324417114,0.146192952990532,2.21021509170532,0.675617754459381,-0.162982970476151,15.9949169158936,0.375551581382751,6.50185012817383,0.108691595494747,0.54292368888855,11.8999996185303,0.379870176315308,7.06577014923096,1.3370509147644,0.0973048061132431,0.414257049560547,3.21393537521362,4.62141132354736,1.73557841777802
InChI%3D1S%2FC7H15Cl2N2O2P%2Fc8-2-5-11%286-3-9%2914%2812%2910-4-1-7-13-14%2Fh1-7H2%2C%28H%2C10%2C12%29,66.4125442504883,0.130159214138985,6.22098684310913,1.37053990364075,-0.30292621254921,34.970157623291,0.279038041830063,30.8314743041992,0.193102061748505,0.363562166690826,11.9985513687134,0.416674196720123,8.72513389587402,1.17569029331207,0.32890847325325,0.395453929901123,4.2667441368103,10.5297183990479,2.93819212913513
InChI%3D1S%2FC3H5N3O4%2Fc4-3%289%296%285-10%291-2%287%298%2Fh1H2%2C%28H2%2C4%2C9%29%28H%2C7%2C8%29,12.7564382553101,0.108376920223236,2.49100804328918,0.500451266765594,-0.334721833467484,16.016996383667,0.352174401283264,6.11143779754639,0.154586508870125,0.449380874633789,11.9989995956421,0.33197683095932,7.27388143539429,1.27942264080048,0.275792300701141,0.498064935207367,3.24147057533264,4.61769247055054,1.62623298168182
InChI%3D1S%2FC14H8O3%2Fc15-11-7-3-6-10-12%2811%2914%2817%299-5-2-1-4-8%289%2913%2810%2916%2Fh1-7%2C15H,34.887378692627,3.35943445861631e-06,8.41826152801514,3.77216092601884e-05,-0.359694421291351,15.9969253540039,0.250277876853943,23.6579265594482,0.31228905916214,0.540306210517883,11.8999996185303,0.286658495664597,10.051929473877,1.39651072025299,0.250395834445953,0.569545984268188,5.48431921005249,11.2285585403442,2.81026005744934
InChI%3D1S%2FC5H6O2%2Fc6-4-5-2-1-3-7-5%2Fh1-3%2C6H%2C4H2,,,,,-0.404704570770264,16.0007247924805,,,,,11.9939661026001,,6.64411687850952,,0.169376835227013,,3.99474692344666,,
InChI%3D1S%2FC2H5N3O2%2Fc1-5%284-7%292%283%296%2Fh1H3%2C%28H2%2C3%2C6%29,10.383885383606,0.207525968551636,1.9655567407608,0.808649659156799,-0.355067610740662,15.9982595443726,0.288047820329666,4.70325088500977,0.128319650888443,0.400186419487,11.9966869354248,0.495157301425934,6.44700574874878,1.4671905040741,0.25370928645134,0.571846783161163,3.05924677848816,3.89661908149719,1.1224125623703
InChI%3D1S%2FC9H18N3OP%2Fc1-7-4-10%287%2914%2813%2C11-5-8%2811%292%2912-6-9%2812%293%2Fh7-9H%2C4-6H2%2C1-3H3,61.7678527832031,0.0642169490456581,6.45814847946167,0.711921274662018,-0.263217478990555,30.973762512207,0.353243112564087,32.6765441894531,0.186904966831207,0.521320343017578,11.8900003433228,0.406339049339294,9.02613162994385,1.43635594844818,0.27582386136055,0.508696496486664,4.74305486679077,11.0861892700195,3.91612005233765
InChI%3D1S%2FC14H16N2O2%2Fc1-17-13-7-9%283-5-11%2813%2915%2910-4-6-12%2816%2914%288-10%2918-2%2Fh3-8H%2C15-16H2%2C1-2H3,89.7377471923828,0.0451687574386597,11.8904666900635,0.709918916225433,-0.375982999801636,15.9982633590698,0.198297515511513,47.7122459411621,0.317400306463242,0.593149363994598,11.9961957931519,0.377686560153961,10.0171718597412,1.59669804573059,0.0948125869035721,0.625862061977386,4.9990086555481,15.7170343399048,3.11664891242981
InChI%3D1S%2FC5H12O%2Fc1-5%282%2C3%296-4%2Fh1-4H3,14.0052080154419,0.235134929418564,2.23458218574524,1.06886148452759,-0.378271877765656,15.9949159622192,0.273287534713745,6.49230432510376,0.118683159351349,0.442522644996643,11.8900003433228,0.543794214725494,7.49042320251465,1.46915674209595,0.13202939927578,0.482839912176132,4.65437078475952,4.54573678970337,1.24229311943054
InChI%3D1S%2FC4H8%2Fc1-4%282%293%2Fh1H2%2C2-3H3,7.73484563827515,0.074145182967186,1.74837613105774,0.261664390563965,-0.175211980938911,12.1100368499756,0.430435240268707,3.51082158088684,0.121564693748951,0.494018852710724,11.8900003433228,0.333333104848862,6.43870115280151,1.42615008354187,0.048163253813982,0.598798155784607,5.170485496521,3.52908158302307,1.51904106140137
