SMILES,bpol,RNCG,WNSA-1,WPSA-1,FPSA-3,DPSA-1,PPSA-3,RPSA,TPSA,RNCS,WNSA-2,WPSA-2,DPSA-2,RPCG,WNSA-3,WPSA-3,DPSA-3,RPCS,RHSA,THSA,FNSA-1,PNSA-1,apol,FNSA-2,PNSA-2,FNSA-3,PNSA-3,nHBAcc,FPSA-1,PPSA-1,nHBDon,FPSA-2,PPSA-2
InChI%3D1S%2FC20H16%2Fc1-13-16-8-5-6-9-17%2816%2914%282%2920-18%2813%2912-11-15-7-3-4-10-19%2815%2920%2Fh3-12H%2C1-2H3,17.4913120269775,0.0776126235723495,93.1281280517578,161.802276611328,0.0314005352556705,136.013656616211,15.8543281555176,0.0,0.0,1.06663501262665,-73.3937911987305,127.515525817871,397.914031982422,0.0791637524962425,-4.30945730209351,8.00495052337646,24.3894901275635,1.0157333612442,1.0,504.906341552734,0.365308046340942,184.446334838867,45.8686866760254,-0.287897348403931,-145.361190795898,-0.0169044453650713,-8.5351619720459,0.0,0.634691953659058,320.459991455078,0.0,0.500197410583496,252.552841186523
InChI%3D1S%2FC5H12N2O%2Fc1-2-3-4-7%286%295-8%2Fh5H%2C2-4%2C6H2%2C1H3,14.0764837265015,0.317749559879303,24.6940021514893,96.0390853881836,0.0556490644812584,205.329284667969,19.3361949920654,0.21995897591114,76.4284133911133,13.6913585662842,-22.0108909606934,85.6040191650391,309.712890625,0.227410063147545,-6.20217227935791,6.71868324279785,37.1858863830566,3.37562108039856,0.780041038990021,271.038269042969,0.204533845186234,71.0686950683594,19.8035163879395,-0.182310342788696,-63.3467674255371,-0.051370944827795,-17.8496913909912,3.0,0.795466184616089,276.397979736328,1.0,0.709035277366638,246.366134643555
InChI%3D1S%2FC4H7NO2%2Fc1-2-4%287%295-3-6%2Fh2%2C6H%2C1%2C3H2%2C%28H%2C5%2C7%29,8.97244930267334,0.350320219993591,40.8263816833496,57.7188682556152,0.064008004963398,53.8115730285645,20.0933418273926,0.443096369504929,139.096450805664,14.1370153427124,-43.5791206359863,61.6105918884277,335.085327148438,0.205584391951561,-10.8067712783813,6.30768489837646,54.518669128418,3.6383581161499,0.556903600692749,174.822723388672,0.414290726184845,130.053802490234,14.4115514755249,-0.442224472761154,-138.822738647461,-0.109663031995296,-34.4253273010254,3.0,0.585709273815155,183.865371704102,2.0,0.625200986862183,196.262588500977
InChI%3D1S%2FC2H3Cl3O2%2Fc3-2%284%2C5%291%286%297%2Fh1%2C6-7H,4.53962087631226,0.342811048030853,68.2159118652344,23.5819911956787,0.0478225238621235,-147.315567016602,14.4893484115601,0.36655580997467,111.059692382812,9.80192089080811,-72.249885559082,24.9765224456787,320.898651123047,0.298995167016983,-11.514910697937,4.39000701904297,52.4946517944336,0.0,0.63344419002533,191.921997070312,0.743109703063965,225.148620605469,13.664379119873,-0.787053823471069,-238.462890625,-0.125437632203102,-38.0053024291992,2.0,0.256890296936035,77.8330535888672,2.0,0.272081613540649,82.4357452392578
InChI%3D1S%2FC6H6ClN%2Fc7-4-6-2-1-3-8-5-6%2Fh1-3%2C5H%2C4H2,8.29924201965332,0.489779651165009,49.0580253601074,83.9492034912109,0.0403012111783028,95.6704940795898,14.6979150772095,0.0763159543275833,27.8325481414795,13.6318159103394,-26.4104671478271,45.1941871643066,196.337661743164,0.155686259269714,-7.63758420944214,5.36035299301147,35.6399269104004,3.56464242935181,0.923684060573578,336.869018554688,0.368837296962738,134.515533447266,17.8407573699951,-0.198564141988754,-72.4166564941406,-0.0574223212897778,-20.9420108795166,1.0,0.631162703037262,230.18603515625,0.0,0.33978745341301,123.921012878418
InChI%3D1S%2FC7H6N4O3S%2Fc8-10-7-9-4%283-15-7%295-1-2-6%2814-5%2911%2812%2913%2Fh1-3H%2C8H2%2C%28H%2C9%2C10%29,12.0112419128418,,,,,,,,,,,,,,,,,,,,,,26.0267581939697,,,,,3.0,,,2.0,,
InChI%3D1S%2FC9H8O4%2Fc10-7-3-1-6%285-8%287%2911%292-4-9%2812%2913%2Fh1-5%2C10-11H%2C%28H%2C12%2C13%29,9.70365619659424,0.241906017065048,66.0249328613281,89.511604309082,0.0759759396314621,59.5532073974609,29.9634819030762,0.562346518039703,221.778900146484,6.76520299911499,-97.6440811157227,132.378448486328,583.249206542969,0.191587507724762,-17.1110591888428,11.8170347213745,73.3505859375,2.98848366737366,0.437653481960297,172.602310180664,0.424497902393341,167.414001464844,24.3823432922363,-0.627788722515106,-247.588073730469,-0.110013112425804,-43.3871040344238,2.0,0.575502097606659,226.967208862305,3.0,0.851108372211456,335.6611328125
InChI%3D1S%2FC12H15N3O5%2Fc13-9%2812%2819%2920%295-6-10%2816%2915-14-8-3-1-7%282-4-8%2911%2817%2918%2Fh1-4%2C9%2C14H%2C5-6%2C13H2%2C%28H%2C15%2C16%29%28H%2C17%2C18%29%28H%2C19%2C20%29,18.3141040802002,0.144395083189011,153.58056640625,173.91731262207,0.0533580705523491,35.5366973876953,30.5354518890381,0.464712113142014,265.942810058594,3.91482186317444,-369.197631835938,418.085845947266,1375.7099609375,0.120889738202095,-36.6703147888184,17.4746551513672,94.6136627197266,1.11773490905762,0.535287857055664,306.331481933594,0.468951344490051,268.368804931641,38.4318962097168,-1.12732839584351,-645.141052246094,-0.111971154808998,-64.0782165527344,8.0,0.531048655509949,303.905487060547,5.0,1.27660620212555,730.568969726562
InChI%3D1S%2FC4H5Cl%2Fc1-3-4%282%295%2Fh3H%2C1-2H2,5.88603496551514,0.377663969993591,61.8987731933594,66.717399597168,0.0295466780662537,13.4361667633057,10.5963535308838,0.0,0.0,24.7544345855713,-21.4799938201904,23.1521434783936,124.451431274414,0.187073335051537,-5.72839307785034,3.80018043518066,26.569299697876,3.38284254074097,1.0,358.630950927734,0.481267422437668,172.597396850586,12.5539646148682,-0.167008504271507,-59.8944206237793,-0.0445386692881584,-15.9729452133179,0.0,0.518732607364655,186.033569335938,0.0,0.180009588599205,64.557014465332
InChI%3D1S%2FC2H3ClO%2Fc3-1-2-4%2Fh2H%2C1H2,4.65762090682983,0.644758880138397,37.9751167297363,49.6767120361328,0.05668980255723,39.5243453979492,16.7836112976074,0.18469001352787,54.6794204711914,35.2550430297852,-17.7255249023438,23.187442779541,138.19123840332,0.300661385059357,-8.48449420928955,4.96896457672119,45.4415855407715,15.138087272644,0.815310001373291,241.381103515625,0.433249562978745,128.268081665039,8.50237941741943,-0.202226534485817,-59.8712921142578,-0.0967976897954941,-28.6579742431641,1.0,0.566750466823578,167.792434692383,0.0,0.264540314674377,78.3199462890625
